RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31
394823,378,"Mankato, MN",msa,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,17.0,13.0,12.0,11.0,11.0,11.0,12.0,10.0,12.0,12.0,15.0,14.0,11.0,8.0,7.0,7.0,8.0,10.0,13.0,14.0,16.0,24.0,35.0
394369,379,"Bay City, MI",msa,MI,71.0,56.0,37.0,25.0,23.0,25.0,30.0,31.0,36.0,42.0,50.0,61.0,59.0,45.0,27.0,16.0,16.0,18.0,19.0,20.0,22.0,38.0,56.0,59.0,46.0,33.0,22.0,17.0,9.0,8.0,8.0,8.0,11.0,11.0,10.0,8.0,7.0,7.0,6.0,6.0,8.0,12.0,18.0,22.0,22.0,23.0,28.0,28.0,24.0,13.0,10.0,9.0,11.0,14.0,14.0,16.0,15.0,22.0,22.0
394620,380,"Gadsden, AL",msa,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,29.0,29.0,24.0,15.0,8.0,7.0,7.0,10.0,11.0,15.0,14.0,16.0,20.0,18.0,16.0,9.0,9.0,9.0,11.0,14.0,16.0,19.0,20.0,31.0,32.0
394794,381,"Lima, OH",msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,80.0,72.0,51.0,28.0,24.0,19.0,20.0,19.0,26.0,29.0,30.0,25.0,18.0,11.0,7.0,7.0,7.0,8.0,11.0,13.0,16.0,20.0,45.0,40.0,34.0,7.0,7.0,7.0,7.0,8.0,9.0,11.0,12.0,16.0,19.0
753915,382,"Salem, OH",msa,OH,89.0,79.0,66.0,57.0,56.0,60.0,64.0,70.0,81.0,81.0,83.0,79.0,98.0,89.0,76.0,50.0,52.0,53.0,63.0,64.0,71.0,68.0,73.0,73.0,73.0,62.0,53.0,46.0,48.0,44.0,43.0,44.0,44.0,48.0,46.0,37.0,23.0,10.0,7.0,7.0,8.0,10.0,10.0,11.0,13.0,14.0,21.0,18.0,16.0,8.0,7.0,7.0,9.0,13.0,17.0,17.0,17.0,23.0,28.0
394709,383,"Ithaca, NY",msa,NY,27.0,17.0,12.0,15.0,18.0,27.0,45.0,52.0,65.0,61.0,61.0,40.0,22.0,13.0,13.0,20.0,27.0,36.0,40.0,48.0,45.0,45.0,57.0,51.0,41.0,22.0,23.0,22.0,14.0,17.0,24.0,28.0,22.0,22.0,28.0,26.0,19.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,10.0,11.0,11.0,11.0,12.0,11.0,10.0
394462,384,"Cheyenne, WY",msa,WY,23.0,15.0,14.0,16.0,18.0,21.0,21.0,27.0,30.0,36.0,35.0,29.0,19.0,12.0,11.0,11.0,9.0,8.0,9.0,13.0,19.0,23.0,25.0,20.0,15.0,11.0,11.0,11.0,12.0,12.0,13.0,14.0,15.0,14.0,11.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,8.0,10.0,10.0,8.0,5.0,4.0,4.0,5.0,9.0,13.0,17.0,17.0,22.0,29.0,38.0
394637,385,"Grand Forks, ND",msa,MN,81.0,60.0,34.0,28.0,34.0,44.0,53.0,59.0,69.0,85.0,108.0,114.0,96.0,67.0,51.0,50.0,48.0,48.0,57.0,65.0,77.0,76.0,96.0,112.0,106.0,80.0,44.0,37.0,32.0,33.0,39.0,39.0,42.0,41.0,40.0,51.0,44.0,38.0,16.0,12.0,13.0,16.0,17.0,19.0,21.0,26.0,25.0,22.0,14.0,10.0,9.0,9.0,12.0,16.0,19.0,19.0,21.0,31.0,52.0
394689,386,"Hot Springs, AR",msa,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,13.0,14.0,12.0,14.0,16.0,15.0,15.0,12.0,13.0,13.0,11.0,11.0,11.0,16.0,15.0,18.0,19.0,23.0,27.0
394518,387,"Danville, VA",msa,VA,,,,,,,,,,,125.0,131.0,97.0,94.0,63.0,55.0,57.0,70.0,65.0,60.0,46.0,62.0,74.0,80.0,60.0,56.0,44.0,47.0,40.0,47.0,43.0,34.0,34.0,40.0,38.0,32.0,17.0,13.0,9.0,11.0,10.0,13.0,11.0,12.0,11.0,13.0,16.0,15.0,13.0,8.0,8.0,8.0,9.0,11.0,11.0,15.0,17.0,18.0,14.0
